filename,MC_PITCHRATE_D,MC_PITCHRATE_I,MC_PITCHRATE_K,MC_ROLLRATE_D,MC_ROLLRATE_I,MC_ROLLRATE_K,MPC_THR_MAX,MC_PITCHRATE_MAX,MPC_THR_MIN,MC_PITCHRATE_P,MC_PITCH_P,MC_ROLLRATE_P,MC_ROLL_P,instability count,dist,distance from default,max_tilt
1,0,12,5,0.0065,0,1,1,220,0.12,0.15,6.5,0.33,9.3,11,233.4,142.6,46.6
4,0.0015,0.1,0.505,0,0.1,0.505,1,220,0.05,0.15,9.3,0.15,6.5,22,90.7,-0.1,60.1
6,0,0.2,0.505,0.003,0,0.505,1,110,0.12,0.6,12,0.15,3.3,30,88.6,-2.2,45.9
9,0.01,0.6,1,0.003,0.2,3,1,220,0.05,0.15,12,0.08,6.5,16,89.1,-1.7,59.7
10,0,0,5,0.01,0.2,0.505,1,220,0.05,0.08,9.3,0.15,12,31,90.6,-0.2,53.5
13,0.0015,0.2,3,0.0065,0.2,3,1,1800,0.12,0.08,9.3,0.08,3.3,50,148.4,57.6,48.9
17,0.0015,0,3,0.003,0,0.505,1,1010,0.085,0.38,6.5,0.33,9.3,34,226.1,135.3,45.6
18,0,0.6,1,0.0065,0.6,1,1,1010,0.12,0.38,9.3,0.5,6.5,15,96.5,5.7,51.1
19,0.003,0.6,0.505,0.0015,0.2,0.505,1,110,0.085,0.15,6.5,0.5,3.3,53,92.9,2.1,53.3
