MC_PITCHRATE_P,MC_PITCH_P,MC_ROLLRATE_P,MC_ROLL_P,max_tilt
0.01,12,0.01,0,179.5
0.01,0,0.01,3.3,179
0.01,0,0.01,12,178.6
0.01,3.3,0.08,6.5,179.5
0.38,0,0.01,6.5,179.6
0.01,3.3,0.08,12,179.4
0.38,12,0.15,0,45.1
0.01,12,0.5,3.3,178.9
0.15,3.3,0.15,0,43.6
0.15,12,0.01,12,179.5
0.01,0,0.33,0,47.7
0.38,0,0.01,9.3,179.8
0.6,6.5,0.01,6.5,179.5
0.01,3.3,0.15,9.3,179.8
0.38,12,0.01,9.3,179.3
0.08,12,0.15,0,64.3
0.38,0,0.08,0,48.2
0.15,0,0.08,3.3,47
0.01,0,0.15,3.3,47.7
0.6,9.3,0.08,0,37.9
0.6,0,0.5,3.3,13.6
0.6,12,0.33,0,44.1
0.6,3.3,0.15,0,43.1
0.01,6.5,0.01,6.5,179.8
0.6,0,0.33,9.3,43.1
0.6,3.3,0.5,6.5,16.9
0.08,12,0.01,12,178.7
0.01,6.5,0.15,12,179.4
0.6,6.5,0.5,6.5,20.4
0.01,3.3,0.01,6.5,179
0.01,12,0.08,3.3,179
0.08,9.3,0.01,9.3,180
0.38,9.3,0.01,9.3,179.4
0.08,0,0.33,12,48.8
0.08,0,0.5,0,47
0.15,0,0.15,9.3,51.6
0.6,3.3,0.01,3.3,179.7
0.6,3.3,0.33,0,44
0.01,9.3,0.01,6.5,180
0.38,6.5,0.5,0,44.2
0.6,6.5,0.5,12,3.1
0.15,9.3,0.01,9.3,179.1
0.08,0,0.5,9.3,43.4
0.08,3.3,0.01,6.5,179.4
0.15,3.3,0.01,0,45.1
0.08,6.5,0.01,6.5,178.8
0.08,9.3,0.08,0,62.6
0.01,9.3,0.33,3.3,179.5
0.15,0,0.33,0,48.1
0.38,0,0.08,12,26.1
0.01,3.3,0.15,0,179.5
0.38,12,0.5,0,44.8
0.38,9.3,0.01,3.3,179.2
0.01,3.3,0.01,3.3,179.3
0.01,6.5,0.08,0,179.9
0.08,0,0.01,6.5,178.7
0.01,0,0.15,0,45.5
0.08,6.5,0.01,9.3,179.2
0.6,0,0.08,0,46.6
0.15,12,0.01,3.3,179.5
0.6,12,0.01,0,34.6
0.6,3.3,0.5,3.3,19.1
0.08,0,0.01,9.3,179.6
0.6,6.5,0.15,0,42
0.6,0,0.15,12,31.4
0.01,6.5,0.33,9.3,179.5
0.01,9.3,0.01,3.3,179.9
0.01,9.3,0.5,12,179.3
0.01,9.3,0.08,6.5,179.5
0.01,3.3,0.5,12,179.7
0.6,3.3,0.01,6.5,179
0.01,0,0.5,12,45.9
0.15,3.3,0.01,6.5,179.7
0.08,3.3,0.01,0,167.5
0.15,0,0.33,9.3,33.3
0.01,12,0.15,9.3,178
0.6,6.5,0.5,9.3,20.4
