MC_PITCHRATE_P,MC_PITCH_P,MC_ROLLRATE_P,MC_ROLL_P,max_tilt
0.08,6.5,0.33,12,60.4
0.38,12,0.08,6.5,46.1
0.08,12,0.33,9.3,63.8
0.15,9.3,0.5,3.3,51.2
0.6,6.5,0.15,9.3,51.1
0.08,3.3,0.15,6.5,49.5
0.08,9.3,0.5,12,62.2
0.6,12,0.08,3.3,47.1
0.6,12,0.08,12,52.3
0.38,9.3,0.5,6.5,47
0.38,3.3,0.15,3.3,43.8
0.08,6.5,0.08,12,60.3
0.08,6.5,0.5,9.3,57.2
0.08,6.5,0.33,6.5,60.9
0.15,3.3,0.08,6.5,45.5
0.15,12,0.15,12,54.2
0.08,3.3,0.33,6.5,49.2
0.08,6.5,0.08,3.3,60
0.6,12,0.5,3.3,47
0.38,6.5,0.08,9.3,50.5
0.6,3.3,0.08,9.3,53.8
0.6,12,0.33,6.5,47.3
0.6,3.3,0.33,12,48.3
0.6,6.5,0.33,6.5,46
0.15,6.5,0.5,3.3,46.9
0.15,9.3,0.5,6.5,51
0.15,3.3,0.33,6.5,43.2
0.6,9.3,0.33,9.3,46.2
0.08,6.5,0.15,6.5,60.8
0.15,6.5,0.15,12,48.9
0.38,9.3,0.15,9.3,44.6
0.15,6.5,0.33,12,48.8
0.15,12,0.5,12,53.6
0.6,12,0.33,9.3,46.9
0.6,12,0.5,6.5,47.3
0.6,9.3,0.15,12,49.5
0.6,6.5,0.33,3.3,45.9
0.38,9.3,0.15,3.3,44.7
0.15,3.3,0.5,6.5,43
0.15,12,0.08,9.3,55.8
0.08,6.5,0.15,3.3,60.1
0.6,12,0.33,3.3,48.2
0.08,3.3,0.33,12,49.7
0.38,6.5,0.08,6.5,45.5
0.15,12,0.33,12,54.2
0.38,6.5,0.15,3.3,44.5
0.15,6.5,0.08,12,53.3
0.15,12,0.08,3.3,54.4
0.38,12,0.33,3.3,45.8
0.15,9.3,0.33,3.3,51.7
0.15,6.5,0.33,6.5,48.8
0.6,12,0.15,6.5,46.2
0.38,6.5,0.5,9.3,44
0.08,9.3,0.15,9.3,62.9
0.15,12,0.15,6.5,54.2
0.15,3.3,0.33,9.3,43.2
0.15,12,0.5,6.5,53.8
0.6,6.5,0.33,9.3,46.1
0.38,9.3,0.08,9.3,48.2
0.15,6.5,0.33,3.3,48.8
0.08,3.3,0.5,9.3,48
0.15,6.5,0.33,9.3,48.8
0.6,12,0.33,12,48.2
0.08,9.3,0.08,9.3,64
0.38,3.3,0.08,3.3,43.8
0.38,9.3,0.15,6.5,44.6
0.38,6.5,0.5,6.5,44.3
0.38,12,0.08,3.3,45.3
0.38,12,0.15,3.3,45.5
0.08,12,0.5,12,59.4
0.38,3.3,0.5,6.5,43.3
0.15,3.3,0.15,9.3,43.2
0.08,12,0.15,3.3,63.1
0.15,6.5,0.15,3.3,48.9
0.6,3.3,0.33,3.3,45
0.38,9.3,0.15,12,44.7
0.08,3.3,0.15,3.3,49.2
0.6,12,0.08,6.5,49.4
0.08,6.5,0.08,9.3,60.7
0.38,12,0.08,12,48.9
0.08,3.3,0.5,3.3,47.2
0.08,12,0.5,3.3,59.2
0.15,12,0.5,9.3,52.6
0.15,9.3,0.08,6.5,52.1
0.08,9.3,0.33,12,63
0.38,3.3,0.5,12,42.8
0.15,9.3,0.08,12,55.6
0.15,9.3,0.33,12,52
0.15,6.5,0.5,12,46.9
0.08,3.3,0.08,9.3,49.3
0.38,6.5,0.33,9.3,44.5
0.08,12,0.5,9.3,61.6
0.08,9.3,0.5,6.5,60.4
0.15,6.5,0.5,6.5,46.5
0.08,9.3,0.15,6.5,62.9
0.38,9.3,0.08,6.5,46
